date,confirmed,recovered,deaths,existing
25-1-2020,4,0,0,4
27-1-2020,5,0,0,5
29-1-2020,7,0,0,7
30-1-2020,9,0,0,9
1-2-2020,10,0,
2-2-2020,12,0,
8-2-2020,15,5,0,10
12-2-2020,15,5,0,10
13-2-2020,15,6,0,9
16-2-2020,15,8,0,7
17-2-2020,15,8,0,7
18-2-2020,15,8,0,7
19-2-2020,15,10,0,5
20-2-2020,17,10,0,7
21-2-2020,21,10,0,11
22-2-2020,22,10,0,10
23-2-2020,22,10,0,12
24-2-2020,22,15,0,7
25-2-2020,23,15,0,8
26-2-2020,23,15,0,8
27-2-2020,23,15,0,8
28-2-2020,25,15,0,10
29-2-2020,26,15,0,11
1-3-2020,29,15,1,14
2-3-2020,33,21,1,11
3-3-2020,41,21,1,19
4-3-2020,52,21,1,30
5-3-2020,57,21,2,34
6-3-2020,63,22,2,39
7-3-2020,73,22,2,49
8-3-2020,80,22,3,55
9-3-2020,91,22,3,55